ward_id,tree_type,count
53,Artocarpus Heterophyllus Lam.,1
53,Caryota Mitis Lour.,2
53,Delonix Regia (Bojer Ex Hook.) Raf.,1
53,Ficus Racemosa L.,5
53,Ficus Religiosa L.,3
53,Others,397
53,Pongamia Pinnata (L.) Pierre,109
53,Pterocarpus Marsupium Roxb,1
53,Roystonea Regia (H.B.K) O. F. Cook,97
53,Samanea Saman (Jacq.) Merr.,5
53,Saraca Asoca (Roxb.) De Wilde,62
53,Spathodea Campanulata P. Beauv,4
53,Swietenia Mahagoni (L.) Jacq.,1
53,Syzygium Cumini (L.) Skeels,1
53,Tabebuia Chrysotricha (Mart. Ex Dc.) Standl,57
53,Tabebuia Rosea (Bertol) Dc.,34
53,Terminalia Catappa L,2
60,Adenanthera Pavonina L.,1
60,Araucaria Columnaris,3
60,Artocarpus Heterophyllus Lam.,26
60,Artocarpus Hirsutus Lam.,1
60,Azadirachta Indica A. Juss.,4
60,Bauhinia Forficata,1
60,Bauhinia Purpurea L.,1
60,Bauhinia Racemosa Lam,20
60,Bauhinia Variegata L.,1
60,Broussonetia Papyrifera Vent,29
60,Callistemon Viminalis (Soland. Ex Gaertn.) G. Don,1
60,Caryota Mitis Lour.,1
60,Cassia Javanica L.,1
60,Cedrela Odorata L,1
60,Citharexylum Fruticosum L.,2
60,Cochlospermum Religiosum (L.),10
60,Cocos Nucifera L.,3
60,Erythrina Suberosa Roxb.,1
60,Eucalyptus Tereticornis Sm.,51
60,Ficus Benghalensis L.,8
60,Ficus Racemosa L.,1
60,Ficus Religiosa L.,23
60,Firmiana Colorata (Roxb.) R. Br.,1
60,Grevillea Robusta Cunn. Ex R. Br.,18
60,Lagerstroemia Speciosa (L.) Pers,3
60,Mangifera Indica L.,9
60,Markhamia Lutea (Benth.) K.Schum,30
60,Michelia Champaca L,3
60,Michelia Longifolia Blume,8
60,Millingtonia Hortensis L.F,43
60,Muntingia Calabura L.,4
60,Others,113
60,Peltophorum Pterocarpum (Dc.) Back. Ex K. Heyne,115
60,Plumeria Obtusa L. Var. Sericiflora,1
60,Plumeria Rubra L. Forma Rubra,1
60,Plumeria Rubra L. Forma Tricolor,1
60,Pongamia Pinnata (L.) Pierre,228
60,Psidium Guajava L.,2
60,Pterocarpus Marsupium Roxb,1
60,Roystonea Regia (H.B.K) O. F. Cook,270
60,Samanea Saman (Jacq.) Merr.,33
60,Saraca Asoca (Roxb.) De Wilde,112
60,Sesbania Grandiflora (L.) Poiret,1
60,Simarouba Glauca Dc.,1
60,Spathodea Campanulata P. Beauv,23
60,Swietenia Mahagoni (L.) Jacq.,86
60,Syzygium Cumini (L.) Skeels,29
60,Syzygium Nervosum Dc,1
60,Syzygium Samarangese (Bl.) Merr. & Perry,2
60,Tabebuia Aurea (Manso) Benth. & Hook.F. Ex S. Moore,1
60,Tabebuia Pallida (Lindley) Miers,4
60,Tabebuia Rosea (Bertol) Dc.,92
60,Tamarindus Indica L.,2
60,Tectona Grandis L.F,2
60,Terminalia Catappa L,19
60,Thespesia Populnea,12
60,Wrightia Tinctoria (Roxb.) R. Br,2
61,Bauhinia Racemosa Lam,1
61,Melia Azedarach L,1
61,Others,1
80,Markhamia Lutea (Benth.) K.Schum,1
80,Peltophorum Pterocarpum (Dc.) Back. Ex K. Heyne,1
90,Mangifera Indica L.,1
91,Muntingia Calabura L.,1
91,Syzygium Cumini (L.) Skeels,1
92,Artocarpus Heterophyllus Lam.,1
92,Markhamia Lutea (Benth.) K.Schum,1
92,Muntingia Calabura L.,1
92,Pongamia Pinnata (L.) Pierre,8
92,Swietenia Mahagoni (L.) Jacq.,4
92,Syzygium Cumini (L.) Skeels,4
92,Tabebuia Rosea (Bertol) Dc.,2
93,Delonix Regia (Bojer Ex Hook.) Raf.,2
93,Ficus Benghalensis L.,1
93,Ficus Religiosa L.,2
93,Markhamia Lutea (Benth.) K.Schum,1
93,Peltophorum Pterocarpum (Dc.) Back. Ex K. Heyne,2
93,Pongamia Pinnata (L.) Pierre,3
93,Roystonea Regia (H.B.K) O. F. Cook,2
93,Saraca Asoca (Roxb.) De Wilde,1
93,Swietenia Mahagoni (L.) Jacq.,6
93,Syzygium Cumini (L.) Skeels,1
93,Tabebuia Rosea (Bertol) Dc.,4
93,Terminalia Catappa L,3
93,Thespesia Populnea,1
94,Acacia Auriculiformis Cunn. Ex Benth,1
94,Acacia Catechu (L. F.) Wild.,1
94,Acacia Nilotica (L.) Del. Subsp. Indica (Benth.) Brenan,1
94,Anacardium Occidentale L.,1
94,Artocarpus Heterophyllus Lam.,7
94,Artocarpus Hirsutus Lam.,1
94,Averrhoa Carambola L.,7
94,Azadirachta Indica A. Juss.,5
94,Bauhinia Galpinii N.E. Br.,1
94,Bauhinia Purpurea L.,3
94,Bauhinia Variegata L.,7
94,Calamus Prasinus Lak. & Renuka,1
94,Cassia Fistula,3
94,Cassia Fistula L.,1
94,Ceiba Pentandra (L.) Gaertn.,1
94,Ceiba Speciosa (A. St. Hil.) Ravenna,1
94,Cocos Nucifera L.,3
94,Cordia Wallichii G. Don,1
94,Crescentia Cujete L.,1
94,Enterolobium Contortisiliqum (Vell.),2
94,Eucalyptus Tereticornis Sm.,52
94,Ficus Benghalensis L.,1
94,Ficus Infectoria Sensu Roxb. – Type 1,1
94,Ficus Pandurata Hance,1
94,Ficus Racemosa L.,163
94,Ficus Religiosa L.,8
94,Filicium Decipiens (Wt. & Arn.),1
94,Grevillea Robusta Cunn. Ex R. Br.,2
94,Jacaranda Acutifolia Humb. & Bonp,1
94,Joannesia Princeps Vell,3
94,Lepisanthes Tetraphylla (Vahl) Radlk.,1
94,Mangifera Indica L.,6
94,Markhamia Lutea (Benth.) K.Schum,1
94,Michelia Champaca L,2
94,Muntingia Calabura L.,7
94,Others,99
94,Parkinsonia Aculeata L,2
94,Peltophorum Pterocarpum (Dc.) Back. Ex K. Heyne,29
94,Persea Macrantha (Nees) Kosterm,13
94,Phoenix Rupicola T. Anders,1
94,Phyllanthus Polyphykkus Wild,93
94,Plumaria alba,2
94,Plumeria Rubra L. Forma Tricolor,2
94,Pongamia Pinnata (L.) Pierre,196
94,Psidium Guajava L.,1
94,Roystonea Regia (H.B.K) O. F. Cook,30
94,Samanea Saman (Jacq.) Merr.,5
94,Saraca Asoca (Roxb.) De Wilde,3
94,Shorea Roxburghii G. Don,1
94,Spathodea Campanulata P. Beauv,39
94,Streblus Asper Lour,1
94,Swietenia Mahagoni (L.) Jacq.,293
94,Syzygium Cumini (L.) Skeels,161
94,Tabebuia Chrysotricha (Mart. Ex Dc.) Standl,9
94,Tabebuia Impetiginosa (Mart. Ex Dc.) Standl.,5
94,Tabebuia Rosea (Bertol) Dc.,18
94,Tamarindus Indica L.,8
94,Terminalia Arjuna (Roxb. Ex Dc.) Wight & Arn.,80
94,Terminalia Catappa L,170
94,Thespesia Populnea,2
94,Tipuana Tipu (Benth.) Kuntze,1
94,Toona Ciliata M. Roeme,135
103,Delonix Regia (Bojer Ex Hook.) Raf.,1
103,Others,2
103,Pongamia Pinnata (L.) Pierre,14
103,Samanea Saman (Jacq.) Merr.,2
103,Swietenia Mahagoni (L.) Jacq.,13
103,Tabebuia Rosea (Bertol) Dc.,4
115,Emblica Officinalis Gaertn.,1
115,Pongamia Pinnata (L.) Pierre,1
117,Alstonia Macrophylla Wall. Ex Dc.,1
117,Annona Squamosa L,1
117,Artocarpus Heterophyllus Lam.,2
117,Averrhoa Carambola L.,16
117,Azadirachta Indica A. Juss.,1
117,Bauhinia Blakeana Dunn,1
117,Bauhinia Galpinii N.E. Br.,1
117,Bauhinia Purpurea L.,2
117,Bauhinia Racemosa Lam,4
117,Caryota Mitis Lour.,1
117,Cocos Nucifera L.,6
117,Delonix Regia (Bojer Ex Hook.) Raf.,8
117,Eucalyptus Tereticornis Sm.,1
117,Ficus Benghalensis L.,1
117,Ficus Benjamina L.,47
117,Ficus Racemosa L.,2
117,Ficus Religiosa L.,4
117,Gmelina Arborea Roxb.,1
117,Grevillea Robusta Cunn. Ex R. Br.,12
117,Leucaena Latisiliqua (L.) Gillis,20
117,Majidea Zanguebarica Oliv.,4
117,Markhamia Lutea (Benth.) K.Schum,25
117,Michelia Champaca L,5
117,Michelia Longifolia Blume,1
117,Millingtonia Hortensis L.F,3
117,Muntingia Calabura L.,12
117,Others,17
117,Peltophorum Pterocarpum (Dc.) Back. Ex K. Heyne,17
117,Phoenix Sylvestris (L.) Roxb.,2
117,Pongamia Pinnata (L.) Pierre,107
117,Pritchardia Pacifica Seem. & H. Wendl.,1
117,Prosopis Juliflora (Sw.) Dc.,4
117,Samanea Saman (Jacq.) Merr.,21
117,Saraca Asoca (Roxb.) De Wilde,4
117,Simarouba Glauca Dc.,1
117,Swietenia Mahagoni (L.) Jacq.,137
117,Syzygium Cumini (L.) Skeels,17
117,Tabebuia Rosea (Bertol) Dc.,19
117,Talauma Mutabilis Bl.,1
117,Techoma Stans,1
117,Terminalia Catappa L,18
117,Thespesia Populnea,14
117,Wrightia Tinctoria (Roxb.) R. Br,1
118,Cocos Nucifera L.,3
118,Eucalyptus Tereticornis Sm.,1
118,Eugenia Uniflora L,1
118,Mangifera Indica L.,1
118,Pongamia Pinnata (L.) Pierre,7
118,Samanea Saman (Jacq.) Merr.,1
118,Swietenia Mahagoni (L.) Jacq.,3
118,Terminalia Catappa L,1
119,Alstonia Macrophylla Wall. Ex Dc.,10
119,Annona Squamosa L,7
119,Artocarpus Heterophyllus Lam.,8
119,Azadirachta Indica A. Juss.,12
119,Bauhinia Racemosa Lam,9
119,Bauhinia Variegata L.,1
119,Broussonetia Papyrifera Vent,8
119,Cassia Moschata Kunth,1
119,Cirtus Grandis (L.) Osbeck,5
119,Cochlospermum Religiosum (L.),1
119,Cocos Nucifera L.,28
119,Delonix Regia (Bojer Ex Hook.) Raf.,21
119,Eucalyptus Tereticornis Sm.,4
119,Eugenia Uniflora L,8
119,Ficus Benghalensis L.,3
119,Ficus Benjamina L.,5
119,Ficus Racemosa L.,3
119,Ficus Religiosa L.,8
119,Grevillea Robusta Cunn. Ex R. Br.,61
119,Leucaena Latisiliqua (L.) Gillis,5
119,Mangifera Indica L.,19
119,Markhamia Lutea (Benth.) K.Schum,112
119,Michelia Longifolia Blume,17
119,Millingtonia Hortensis L.F,1
119,Moringa Oleifera Lam.,27
119,Others,36
119,Peltophorum Pterocarpum (Dc.) Back. Ex K. Heyne,32
119,Plumeria Rubra L. Forma Tricolor,1
119,Pongamia Pinnata (L.) Pierre,201
119,Psidium Guajava L.,3
119,Pterocarpus Marsupium Roxb,1
119,Roystonea Regia (H.B.K) O. F. Cook,4
119,Samanea Saman (Jacq.) Merr.,148
119,Santalum Album L,1
119,Saraca Asoca (Roxb.) De Wilde,32
119,Swietenia Mahagoni (L.) Jacq.,93
119,Syzygium Cumini (L.) Skeels,12
119,Tabebuia Rosea (Bertol) Dc.,19
119,Tamarindus Indica L.,1
119,Terminalia Catappa L,33
119,Thespesia Populnea,47
120,Acacia Auriculiformis Cunn. Ex Benth,2
120,Ailanthus Triphysa (Dennst.) Alston,1
120,Alstonia Macrophylla Wall. Ex Dc.,16
120,Annona Squamosa L,8
120,Araucaria Columnaris,3
120,Artocarpus Altitilis (Park.) Fosb.,1
120,Artocarpus Heterophyllus Lam.,17
120,Averrhoa Carambola L.,13
120,Azadirachta Indica A. Juss.,48
120,Bauhinia Blakeana Dunn,1
120,Bauhinia Forficata,2
120,Bauhinia Galpinii N.E. Br.,2
120,Bauhinia Purpurea L.,44
120,Bauhinia Racemosa Lam,100
120,Bauhinia Variegata L.,5
120,Callistemon Viminalis (Soland. Ex Gaertn.) G. Don,2
120,Caryota Mitis Lour.,77
120,Cassia Javanica L.,29
120,Ceiba Pentandra (L.) Gaertn.,5
120,Ceiba Speciosa (A. St. Hil.) Ravenna,3
120,Cocos Nucifera L.,42
120,Cordia Wallichii G. Don,2
120,Dalbergia Sissoo Roxb.,2
120,Delonix Regia (Bojer Ex Hook.) Raf.,93
120,Erythrina Umbrosa Kunth,1
120,Eucalyptus Tereticornis Sm.,6
120,Eugenia Uniflora L,27
120,Ficus Benghalensis L.,11
120,Ficus Benjamina L.,78
120,Ficus Pandurata Hance,1
120,Ficus Racemosa L.,26
120,Ficus Religiosa L.,35
120,Filicium Decipiens (Wt. & Arn.),1
120,Grevillea Robusta Cunn. Ex R. Br.,152
120,Grewia Asiatica Sensu Masters,1
120,Leucaena Latisiliqua (L.) Gillis,21
120,Litchi Chinensis Sonn.,4
120,Lonchocarpus Minimiflorus J.D. Smith,1
120,Majidea Zanguebarica Oliv.,4
120,Mangifera Indica L.,45
120,Markhamia Lutea (Benth.) K.Schum,579
120,Michelia Champaca L,14
120,Michelia Longifolia Blume,112
120,Millingtonia Hortensis L.F,38
120,Moringa Oleifera Lam.,23
120,Muntingia Calabura L.,16
120,Others,92
120,Peltophorum Pterocarpum (Dc.) Back. Ex K. Heyne,185
120,Phoenix Sylvestris (L.) Roxb.,3
120,Phyllanthus Polyphykkus Wild,2
120,Plumeria Rubra L. Forma Tricolor,21
120,Polyalthia Longifolia (Sonn.) Thwaites,1
120,Pongamia Pinnata (L.) Pierre,447
120,Prosopis Juliflora (Sw.) Dc.,1
120,Psidium Guajava L.,2
120,Pterocarpus Marsupium Roxb,2
120,Pterospermum Acerifolium (L.) Wild,5
120,Roystonea Regia (H.B.K) O. F. Cook,197
120,Samanea Saman (Jacq.) Merr.,160
120,Santalum Album L,3
120,Saraca Asoca (Roxb.) De Wilde,191
120,Shorea Roxburghii G. Don,1
120,Simarouba Glauca Dc.,10
120,Swietenia Mahagoni (L.) Jacq.,275
120,Syzygium Cumini (L.) Skeels,65
120,Syzygium Nervosum Dc,1
120,Tabebuia Chrysotricha (Mart. Ex Dc.) Standl,1
120,Tabebuia Impetiginosa (Mart. Ex Dc.) Standl.,25
120,Tabebuia Pallida (Lindley) Miers,1
120,Tabebuia Rosea (Bertol) Dc.,239
120,Techoma Stans,1
120,Terminalia Catappa L,126
120,Thespesia Populnea,77
120,Wrightia Tinctoria (Roxb.) R. Br,1
121,Alstonia Macrophylla Wall. Ex Dc.,15
121,Annona Squamosa L,10
121,Araucaria Columnaris,19
121,Artocarpus Heterophyllus Lam.,31
121,Averrhoa Carambola L.,16
121,Azadirachta Indica A. Juss.,53
121,Bauhinia Blakeana Dunn,3
121,Bauhinia Forficata,2
121,Bauhinia Galpinii N.E. Br.,1
121,Bauhinia Purpurea L.,71
121,Bauhinia Racemosa Lam,51
121,Bauhinia Tomentosa L.,2
121,Bauhinia Variegata L.,27
121,Bauhinia Variegata L. Var. Candida Voigt.,1
121,Caesalpinia Ferrea Mart. Ex Tul.,2
121,Callistemon Viminalis (Soland. Ex Gaertn.) G. Don,2
121,Caryota Mitis Lour.,67
121,Cassia Grandis L.F,5
121,Cassia Javanica L.,20
121,Ceiba Speciosa (A. St. Hil.) Ravenna,9
121,Cocos Nucifera L.,72
121,Couroupita Guianensis Abul.,6
121,Dalbergia Latifolia Roxb.,1
121,Dalbergia Sissoo Roxb.,4
121,Delonix Regia (Bojer Ex Hook.) Raf.,360
121,Erythrina Umbrosa Kunth,8
121,Eucalyptus Tereticornis Sm.,17
121,Eugenia Uniflora L,5
121,Ficus Benghalensis L.,15
121,Ficus Benjamina L.,94
121,Ficus Racemosa L.,19
121,Ficus Religiosa L.,17
121,Gliricidia Sepium,19
121,Gmelina Arborea Roxb.,7
121,Grevillea Robusta Cunn. Ex R. Br.,175
121,Leucaena Latisiliqua (L.) Gillis,47
121,Madhuca Indica J. Gmelin,1
121,Majidea Zanguebarica Oliv.,5
121,Mangifera Indica L.,55
121,Markhamia Lutea (Benth.) K.Schum,664
121,Melaleuca Bracteate F. Muell.,2
121,Michelia Champaca L,24
121,Michelia Longifolia Blume,87
121,Millingtonia Hortensis L.F,99
121,Moringa Oleifera Lam.,7
121,Muntingia Calabura L.,38
121,Neolomarckia,9
121,Others,111
121,Peltophorum Pterocarpum (Dc.) Back. Ex K. Heyne,188
121,Phoenix Sylvestris (L.) Roxb.,8
121,Plumeria Rubra L. Forma Tricolor,41
121,Polyalthia Longifolia (Sonn.) Thwaites,2
121,Pongamia Pinnata (L.) Pierre,419
121,Pritchardia Pacifica Seem. & H. Wendl.,4
121,Prosopis Juliflora (Sw.) Dc.,5
121,Psidium Guajava L.,18
121,Pterocarpus Marsupium Roxb,1
121,Pterospermum Acerifolium (L.) Wild,2
121,Roystonea Regia (H.B.K) O. F. Cook,88
121,Samanea Saman (Jacq.) Merr.,166
121,Saraca Asoca (Roxb.) De Wilde,254
121,Simarouba Glauca Dc.,24
121,Swietenia Mahagoni (L.) Jacq.,285
121,Syzygium Cumini (L.) Skeels,74
121,Syzygium Laetum (Buch. -Ham.),1
121,Syzygium Nervosum Dc,1
121,Tabebuia Impetiginosa (Mart. Ex Dc.) Standl.,3
121,Tabebuia Rosea (Bertol) Dc.,234
121,Techoma Stans,7
121,Tectona Grandis L.F,5
121,Terminalia Catappa L,98
121,Thespesia Populnea,61
121,Thevetia Peruviana (Pers.) Merr.,1
121,Tipuana Tipu (Benth.) Kuntze,1
121,Wrightia Tinctoria (Roxb.) R. Br,2
122,Acacia Auriculiformis Cunn. Ex Benth,1
122,Aegle Marmelos (L.) Corr. Serr.,1
122,Alstonia Macrophylla Wall. Ex Dc.,7
122,Annona Squamosa L,17
122,Araucaria Columnaris,14
122,Artocarpus Heterophyllus Lam.,23
122,Averrhoa Carambola L.,18
122,Azadirachta Indica A. Juss.,51
122,Barringtonia Asiatica (L.) Kurz,1
122,Bauhinia Galpinii N.E. Br.,12
122,Bauhinia Purpurea L.,37
122,Bauhinia Racemosa Lam,47
122,Bauhinia Variegata L.,5
122,Bauhinia Variegata L. Var. Candida Voigt.,1
122,Caesalpinia Ferrea Mart. Ex Tul.,4
122,Caryota Mitis Lour.,28
122,Cassia Grandis L.F,3
122,Ceiba Speciosa (A. St. Hil.) Ravenna,2
122,Cirtus Grandis (L.) Osbeck,2
122,Cocos Nucifera L.,34
122,Couroupita Guianensis Abul.,3
122,Dalbergia Sissoo Roxb.,1
122,Delonix Regia (Bojer Ex Hook.) Raf.,123
122,Emblica Officinalis Gaertn.,5
122,Erythrina Umbrosa Kunth,3
122,Eucalyptus Tereticornis Sm.,5
122,Eugenia Uniflora L,5
122,Ficus Benghalensis L.,17
122,Ficus Benjamina L.,84
122,Ficus Racemosa L.,19
122,Ficus Religiosa L.,14
122,Filicium Decipiens (Wt. & Arn.),5
122,Gliricidia Sepium,2
122,Gmelina Arborea Roxb.,2
122,Grevillea Robusta Cunn. Ex R. Br.,124
122,Grewia Asiatica Sensu Masters,1
122,Heritiera Littoralis Dyrand.,1
122,Kigelia Africana (Lam.) Benth,1
122,Leucaena Latisiliqua (L.) Gillis,29
122,Litchi Chinensis Sonn.,2
